RecordID,ReportedModel,ModelVariantName,DateSet,SpeedKph,Sponsor,Description
921,Concorde,,1982-03-28,,,"Speed: 1721.57 kmh, 1069.73 mph, 929.57 kts "
922,DC-8-51,DC-8-51,1964-02-07,,,"Speed: 1037.28658176 kmh, 644.54 mph, 560.09 kts "
923,707-123,707-123,1965-03-12,,,"Speed: 1042.79053824 kmh, 647.96 mph, 563.06 kts "
924,MD-11,MD-11,1998-04-15,,,"Speed: 851.24 kmh, 528.94 mph, 459.63 kts "
925,707,70,1965-12-14,,,"Speed: 1013.99937408 kmh, 630.07 mph, 547.52 kts "
926,727,727,1985-07-02,,,"Speed: 859.75 kmh, 534.22 mph, 464.23 kts "
927,MD-82,MD-2,1997-12-03,,,"Speed: 687.43 kmh, 427.15 mph, 371.18 kts "
928,707-123,707-123,1965-02-25,,,"Speed: 797.49432576 kmh, 495.54 mph, 430.61 kts "
929,DC-10-30,DC-10-30,1986-05-24,,,"Speed: 888 kmh, 551.78 mph, 479.48 kts "
930,727-100,727-100,1987-02-24,,,"Speed: 721.8 kmh, 448.51 mph, 389.74 kts "
931,DC-10-30,DC-10-30,1989-04-12,,,"Speed: 800.28 kmh, 497.27 mph, 432.12 kts "
932,727,727,1965-07-06,,,"Speed: 811.914048 kmh, 504.5 mph, 438.4 kts "
933,MD-11,MD-11,1997-09-29,,,"Speed: 963.52 kmh, 598.7 mph, 520.26 kts "
934,707-123,707-123,1965-02-18,,,"Speed: 989.56953216 kmh, 614.89 mph, 534.32 kts "
935,CRJ-200,,2003-10-18,,,"Speed: 794.99 kmh, 493.98 mph, 429.26 kts "
936,MD-11,MD-11,1998-04-17,,,"Speed: 940.52 kmh, 584.41 mph, 507.84 kts "
937,707-720,707-370C,1965-03-12,,,"Speed: 1105.18480512 kmh, 686.73 mph, 596.75 kts "
938,757-200,757-200CB,1994-01-03,,,"Speed: 689.63 kmh, 428.52 mph, 372.37 kts "
939,880,880,1965-03-08,,,"Speed: 1069.55392896 kmh, 664.59 mph, 577.51 kts "
940,777-200,777-200,1999-12-26,,,"Speed: 831.38 kmh, 516.6 mph, 448.91 kts "
941,757-200,757-200CB,1993-04-06,,,"Speed: 818.3 kmh, 508.47 mph, 441.85 kts "
942,707-720B,707-320B,1962-01-31,,,"Speed: 942.73762176 kmh, 585.79 mph, 509.04 kts "
943,707-720,707-370C,1965-02-18,,,"Speed: 934.15981824 kmh, 580.46 mph, 504.41 kts "
944,777-200,777-200,2002-06-05,,,"Speed: 864.7005312 kmh, 537.3 mph, 466.9 kts "
945,747SP,,1988-10-12,,,"Speed: 868.32 kmh, 539.55 mph, 468.86 kts "
946,757-200,757-200CB,1993-04-18,,,"Speed: 844.65 kmh, 524.84 mph, 456.07 kts "
947,707-720,707-370C,1965-03-12,,,"Speed: 1034.90475264 kmh, 643.06 mph, 558.8 kts "
948,DC-8,DC-8,1990-12-07,,,"Speed: 687.42 kmh, 427.14 mph, 371.18 kts "
949,747,77,1991-08-21,,,"Speed: 758.82 kmh, 471.51 mph, 409.73 kts "
950,747SP,,1976-05-02,,,"Speed: 421.2 kmh, 261.72 mph, 227.43 kts "
951,757-200,757-200CB,1993-02-24,,,"Speed: 995.47 kmh, 618.56 mph, 537.51 kts "
952,737-300,737-300,1992-09-07,,,"Speed: 821.83 kmh, 510.66 mph, 443.75 kts "
953,A319-100,A319-100,2003-11-06,,,"Speed: 888.82 kmh, 552.29 mph, 479.92 kts "
954,727-222A,727-222,1982-01-20,,,"Speed: 1063.34186112 kmh, 660.73 mph, 574.16 kts "
955,MD-82,MD-2,1997-12-04,,,"Speed: 745.4 kmh, 463.17 mph, 402.48 kts "
956,757,77,1996-05-05,,,"Speed: 884.33 kmh, 549.5 mph, 477.5 kts "
957,747-400,747-400,1999-12-22,,,"Speed: 903.55 kmh, 561.44 mph, 487.88 kts "
958,737-500,737-500,1992-12-20,,,"Speed: 862.49 kmh, 535.93 mph, 465.71 kts "
959,737-300,737-300,1993-02-14,,,"Speed: 856.1 kmh, 531.96 mph, 462.26 kts "
960,727,727,1994-03-22,,,"Speed: 927.01 kmh, 576.02 mph, 500.55 kts "
961,A320,320,1995-07-14,,,"Speed: 748.14 kmh, 464.87 mph, 403.96 kts "
962,777,777F,2000-03-03,,,"Speed: 855.03 kmh, 531.29 mph, 461.68 kts "
963,727,727,1999-12-26,,,"Speed: 845.99 kmh, 525.67 mph, 456.8 kts "
964,737-300,737-300,1992-11-28,,,"Speed: 778.89 kmh, 483.98 mph, 420.57 kts "
965,A318-100,A319-100,2003-11-12,,,"Speed: 893.4 kmh, 555.13 mph, 482.4 kts "
966,737-300,737-300,1992-10-17,,,"Speed: 777.51 kmh, 483.12 mph, 419.82 kts "
967,727-200,727-200,1995-10-30,,,"Speed: 999.04 kmh, 620.77 mph, 539.44 kts "
968,737-300,737-300,1992-11-27,,,"Speed: 782.97 kmh, 486.52 mph, 422.77 kts "
969,L.188 Electra,,1966-01-11,,,"Speed: 608.62171392 kmh, 378.18 mph, 328.63 kts "
970,DC-9-31,DC-9-31,1971-10-01,,,"Speed: 694.62505728 kmh, 431.62 mph, 375.07 kts "
971,727,727,1999-12-27,,,"Speed: 819.22 kmh, 509.04 mph, 442.34 kts "
972,707-123,707-123,1959-09-19,,,"Speed: 756.02153088 kmh, 469.77 mph, 408.22 kts "
973,Constellation,,1947-08-07,,,"Speed: 513.15542784 kmh, 318.86 mph, 277.08 kts "
974,737-800,737-800,2002-07-10,,,"Speed: 780.41 kmh, 484.92 mph, 421.39 kts "
975,727,727,1965-02-04,,,"Speed: 929.58928128 kmh, 577.62 mph, 501.94 kts "
976,727,727,1965-02-03,,,"Speed: 978.30412416 kmh, 607.89 mph, 528.24 kts "
977,DC-8-52,DC-8-52,1977-04-27,,,"Speed: 778.98686976 kmh, 484.04 mph, 420.62 kts "
978,737-300,737-300,1992-12-19,,,"Speed: 828.43 kmh, 514.76 mph, 447.32 kts "
979,MD-11F,MD-11F,2001-01-07,,,"Speed: 926.56 kmh, 575.74 mph, 500.3 kts "
980,767-300ER,767-300ER,1997-12-03,,,"Speed: 866.27 kmh, 538.28 mph, 467.75 kts "
981,DC-10-30,DC-10-30,1988-05-28,,,"Speed: 863.32 kmh, 536.44 mph, 466.16 kts "
982,L-1011-500,L-1011-500,1992-04-24,,,"Speed: 873.98 kmh, 543.07 mph, 471.91 kts "
983,767-300ER,767-300ER,1999-06-23,,,"Speed: 836.2 kmh, 519.59 mph, 451.51 kts "
