ModelName,Thrust,CylinderCount,CylinderConfig,PropSize
CFM56-7B27AE,27300,,,
CFM56-7B22/3,20700,,,
CFM56-5B6/3,23500,,,
CFM56-7B27383,27300,,,
CFM56-5B4/3,27000,,,
CFM56-7B26E,26300,,,
CFM56-7B27E/F,27300,,,
CFM56-5B3/3,32000,,,
CFM56-7B/3,27300,,,
LEAP-1A26,27120,,,
LEAP-1A33,32160,,,
LEAP-1B28 SER,29317,,,
LEAP-1B28B,29317,,,
LEAP-1B27 SER,26786,,,
LEAP-1B25,26786,,,
LEAP-1A35A,32160,,,
CFM56-3B-1,22100,,,
CFM56-3B2,24000,,,
CFM56-5A,25000,,,
CFM56-7B27E/B,27300,,,
CFM56 SERIES,0,,,
CFM56-7B,20000,,,
CFM56-7B24E,24200,,,
CFM56-7B27/3,27300,,,
CFM56-5B9/3,23300,,,
CFM56-7B27EB3,27300,,,
CFM56-5B7/3,27000,,,
ALL MDLS A/B,0,,,
LS3,0,,,
LS7,0,,,
LZ0,0,,,
CKT-240TD,0,,,
ROTARY,0,,,
MARK III,0,,,
7RA,0,,,
7E,0,,,
MZ202,0,,,
MZ35,0,,,
MZ201,0,,,
C90-14,0,,,
CJ69-1025,0,,,
CFE 738-1-1B,5918,,,
O-520-EXP,0,,,
A40 SERIES,0,,,
A50 SERIES,0,,,
A&C65 SERIES,0,,,
A70 SERIES,0,,,
A&C75 SERIES,0,,,
A80 SERIES,0,,,
A100,0,,,
C85 SERIES,0,,,
C90 SERIES,0,,,
PC60-6,0,,,
C125 SERIES,0,,,
C145 SERIES,0,,,
E165 SERIES,0,,,
E185 SERIES,0,,,
E225 SERIES,0,,,
R670-SERIES,0,,,
R9A,0,,,
W670 SERIES,0,,,
TSIO-360 SER,0,,,
0-200 SERIES,0,,,
IO-200,0,,,
0-300 SER,0,,,
GO-300 SERIES,0,,,
IO-360 SER,0,,,
O-470 SERIES,0,,,
I0-470 SERIES,0,,,
FSO-470 SER,0,,,
TSI0-470-B,0,,,
FSO-526,0,,,
GTSI0-520-F-K,0,,,
IO 520 SERIES,0,,,
IO-346 SERIES,0,,,
GIO-470SERIES,0,,,
GTSIO-520-C,0,,,
TIO 541 SERIE,0,,,
R-975 SER,0,,,
6-285-A,0,,,
GTSIO-520 SER,0,,,
TSIO-520 SER,0,,,
6-320 SERIES,0,,,
