recordNumber,aircraftModel,Matched_Master_Model,confirmedSpeedKph,recordDate,MFR,TYPE-ACFT,FirstClassCount,EconomyCount,PilotCount
6184,IE,,,1965-04-13,,,,,
6185,Falcon 20,,,1969-12-27,,,,,
6186,Canberra B.Mk.2,,,1953-12-17,,,,,
6187,Canberra PR.Mk.3,,,1953-10-08,,,,,
6188,Canberra PR.Mk.7,,,1953-10-08,,,,,
6189,Meteor MK F8,,,1950-04-04,,,,,
6190,35A,35A,,1983-02-17,GATES LEARJET CORP.,5,,,
6191,Canberra VX 181,,,1953-01-27,,,,,
6192,V,V,,1997-11-13,JACKSON M A/JACKSON J T,4,,,
6193,F4J Phantom,,,1987-07-01,,,,,
6194,F4J Phantom,,,1987-07-01,,,,,
6195,Falcon 2000,,,2002-11-13,,,,,
6196,V,V,,1997-04-10,JACKSON M A/JACKSON J T,4,,,
6197,707-320C,707-320C,,1977-10-24,BOEING,5,,,
6198,Hornet Series 3,,,1957-10-23,,,,,
6199,720B,720-B,,1962-01-02,BOEING,5,,,
6200,Hornet Series 3,,,1957-10-16,,,,,
6201,Comet 4C,,,1964-02-02,,,,,
6202,Hunter F.G.A.9,,,1958-06-17,,,,,
6203,707/320C,707-320C,,1965-11-16,BOEING,5,,,
6204,SR-71,SR-1,,1974-09-13,VSR (VANMETER-SMITH RACING),4,,,
6205,35A,35A,,1983-02-17,GATES LEARJET CORP.,5,,,
6206,Viscount 700,,,1953-10-08,,,,,
6207,III,III,,1984-02-14,AEROCAR,4,,,
6208,Canberra,,,1952-09-28,,,,,
6209,Concorde,,,1990-03-14,,,,,
6210,III,III,,1984-02-14,AEROCAR,4,,,
6211,Supermarine Swift MKIV,,,1953-07-05,,,,,
6212,VC10 K3,VC10 K3,,1987-04-08,VICKERS-ARMSTRONGS (ACFT) LTD,5,,,
6213,VC10 C,,,1987-12-20,,,,,
6214,747-282B,747-282B,,1976-04-26,BOEING,5,,,
6215,,,,1965-08-01,,,,,
6216,Hunter T. 7-P 1101,,,1956-10-20,,,,,
6217,Concorde,,,1992-12-31,,,,,
6218,747-312,747-312,,1984-10-30,BOEING,5,,,
6219,Concorde,,,1985-02-14,,,,,
6220,III,III,,1984-02-14,AEROCAR,4,,,
6221,Falcon 2000,,,2002-11-14,,,,,
6222,Canberra B.Mk,,,1952-02-15,,,,,
6223,Concorde,,,1976-05-29,,,,,
6224,Lancaster,,,1946-08-21,,,,,
6225,PA-60-602P Aerostar,,,1992-11-06,,,,,
6226,TLS,CTLS,,1994-03-25,FLIGHT DESIGN GMBH,4,,,
6227,Citation II/SP,,,1987-12-21,,,,,
6228,,,,1978-12-12,,,,,
6229,III,III,,2003-06-18,AEROCAR,4,,,
6230,III,III,,1983-11-15,AEROCAR,4,,,
6231,II-SP,,,1997-09-22,,,,,
6232,TLS,CTLS,,1994-03-25,FLIGHT DESIGN GMBH,4,,,
6233,P-51 Mustang,,,1985-03-28,,,,,
6234,DC-10-30,DC-10-30,,1973-03-28,MCDONNELL-DOUGLAS,5,,,
6235,II-SP,,,1995-06-08,,,,,
6236,DC-10-40,DC-10-40,,1972-10-09,DOUGLAS,5,,,
6237,750 Citation X,,,2000-03-23,,,,,
6238,TLS,CTLS,,1994-03-25,FLIGHT DESIGN GMBH,4,,,
6239,II-SP,,,2003-12-15,,,,,
6240,DC-10-30,DC-10-30,,1977-04-22,MCDONNELL-DOUGLAS,5,,,
6241,III,III,,1983-11-16,AEROCAR,4,,,
6242,B-58 Hustler ,,,1962-03-05,,,,,
6243,Bonanza M35,,,1997-03-03,,,,,
6244,III,III,,1983-11-15,AEROCAR,4,,,
6245,II-SP,,,1995-06-09,,,,,
6246,DC-6,DC-6,,1953-05-28,DOUGLAS,5,,,
6247,DC-10-30,DC-10-30,,1977-03-13,MCDONNELL-DOUGLAS,5,,,
6248,DC-10-30,DC-10-30,,1973-03-23,MCDONNELL-DOUGLAS,5,,,
6249,III,III,,1983-11-16,AEROCAR,4,,,
6250,DC-7C,DC-7C,,1956-11-15,DOUGLAS,5,,,
6251,IV,IV,,2003-07-29,AEROTEK INC,4,,,
6252,DC-8-61,DC-8-61,,1966-08-16,DOUGLAS,5,,,
6253,SR-71,SR-1,,1990-03-06,VSR (VANMETER-SMITH RACING),4,,,
6254,II-SP,,,2003-12-15,,,,,
6255,Lance,,,1988-03-14,,,,,
6256,Bonanza A36,,,1989-06-20,,,,,
6257,Bonanza S35,,,1989-06-20,,,,,
6258,IV,IV,,1987-06-14,AEROTEK INC,4,,,
6259,Concorde,,,1999-11-04,,,,,
6260,Falcon 2000,,,2002-11-11,,,,,
6261,T-39 Sabreliner,,,1961-07-17,,,,,
6262,DC-10-30,DC-10-30,,1979-06-05,MCDONNELL-DOUGLAS,5,,,
6263,Metroliner III,,,1991-06-05,,,,,
6264,Bonanza A36,,,1989-06-03,,,,,
6265,Bonanza S35,,,1989-06-03,,,,,
6266,Aerostar 602P,,,1987-04-28,,,,,
6267,III,III,,1982-01-09,AEROCAR,4,,,
6268,Bonanza S35,,,1989-06-09,,,,,
6269,Bonanza A36,,,1989-06-09,,,,,
6270,IV,IV,,1987-06-13,AEROTEK INC,4,,,
6271,IV,IV,,1987-06-14,AEROTEK INC,4,,,
6272,1126 Galaxy,,,2002-02-24,,,,,
6273,36,36,,1976-05-19,BEECH,4,,,
6274,Bonanza F33A,,,1984-02-28,,,,,
6275,Bonanza F33A,,,1984-02-23,,,,,
6276,Bonanza F33A,,,1984-02-28,,,,,
6277,Bonanza F33A,,,1984-02-28,,,,,
6278,Bonanza F33A,,,1984-02-28,,,,,
6279,Bonanza F33A,,,1984-02-28,,,,,
6280,Bonanza F33A,,,1984-02-28,,,,,
6281,Bonanza F33A,,,1984-02-28,,,,,
6282,Bonanza F33A,,,1984-02-28,,,,,
6283,Bonanza F33A,,,1984-02-28,,,,,
6284,IV,IV,,1988-02-28,AEROTEK INC,4,,,
6285,BD-700 Global Express,,,1999-05-07,,,,,
6286,310R,310R,,1988-07-08,CESSNA,5,,,
6287,Aerostar,,,1988-05-17,,,,,
6288,III,III,,1983-11-16,AEROCAR,4,,,
6289,III,III,,1983-11-16,AEROCAR,4,,,
6290,Super 21,,,1988-12-16,,,,,
6291,BD-700 Global Express,,,1999-05-02,,,,,
6292,767-200ER,767-200ER,,1998-09-24,BOEING,5,,,
6293,1125 Astra SPX,,,2001-09-01,,,,,
6294,Concorde,,,1986-09-17,,,,,
6295,1125 Astra SPX,,,2001-08-31,,,,,
6296,Challenger 300,,,2003-06-10,,,,,
6297,IV,IV,,1987-06-13,AEROTEK INC,4,,,
6298,IV,IV,,1987-06-13,AEROTEK INC,4,,,
6299,Baron,,,1988-12-20,,,,,
6300,Baron,,,1988-12-21,,,,,
6301,Bonanza F33A,,,1984-02-04,,,,,
6302,Metroliner III,,,1991-06-06,,,,,
6303,Challenger 601,,,1984-07-24,,,,,
6304,F8F Bearcat,,,1991-09-08,,,,,
6305,B-1B,BJ-1B,,1994-04-08,MAUPIN-BARNHART,1,,,
6306,B-1B,BJ-1B,,1994-04-07,MAUPIN-BARNHART,1,,,
6307,Baron,,,1988-12-20,,,,,
6308,Bonanza F33A,,,1984-02-14,,,,,
6309,Bonanza F33A,,,1984-02-14,,,,,
6310,Bonanza F33A,,,1984-03-07,,,,,
6311,45,45,,2001-06-14,BEECH,4,,,
6312,45,45,,2001-06-14,BEECH,4,,,
6313,VC-137,VC-1,,1963-05-21,H G KLEIN,4,,,
6314,BD-700 Global Express,,,1999-09-22,,,,,
6315,VC-137,VC-1,,1963-05-21,H G KLEIN,4,,,
6316,III,III,,1984-02-15,AEROCAR,4,,,
6317,310,310,,1992-06-23,SCHRECK FBA,4,,,
6318,Metroliner III,,,1991-06-03,,,,,
6319,V,V,,1997-12-11,JACKSON M A/JACKSON J T,4,,,
6320,VC-137,VC-1,,1963-05-21,H G KLEIN,4,,,
6321,310,310,,1992-06-28,SCHRECK FBA,4,,,
6322,III,III,,1984-02-14,AEROCAR,4,,,
6323,310,310,,1992-06-23,SCHRECK FBA,4,,,
6324,VC-137,VC-1,,1963-05-21,H G KLEIN,4,,,
6325,Metroliner III,,,1991-06-03,,,,,
6326,III,III,,1984-02-14,AEROCAR,4,,,
6327,VC-137,VC-1,,1963-05-21,H G KLEIN,4,,,
6328,251 Renegade,,,1996-12-20,,,,,
6329,Tristar,,,1985-05-14,,,,,
6330,Tristar,,,1985-05-15,,,,,
6331,B-1B,BJ-1B,,1994-04-07,MAUPIN-BARNHART,1,,,
6332,Challenger 601,,,1984-07-22,,,,,
6333,36,36,,1984-07-19,BEECH,4,,,
6334,Challenger 601,,,1984-07-22,,,,,
6335,Concorde,,,1999-10-27,,,,,
6336,1126 Galaxy,,,2002-02-20,,,,,
6337,Concorde,,,1999-11-09,,,,,
6338,DC-8,DC-8,,1973-06-30,DOUGLAS,5,,,
6339,36,36,,1984-07-19,BEECH,4,,,
6340,36,36,,1984-07-24,BEECH,4,,,
6341,Baron,,,1988-12-21,,,,,
6342,Baron,,,1988-12-21,,,,,
6343,V,V,,2002-11-06,JACKSON M A/JACKSON J T,4,,,
6344,Bonanza F33A,,,1984-02-21,,,,,
6345,Bonanza F33A,,,1984-02-28,,,,,
6346,Bonanza F33A,,,1984-02-21,,,,,
6347,Bonanza A36,,,1989-06-16,,,,,
6348,Bonanza S35,,,1989-06-16,,,,,
6349,Jetstar,,,1962-04-22,,,,,
6350,Jetstar,,,1962-04-22,,,,,
6351,Jetstar,,,1962-04-22,,,,,
6352,Jetstar,,,1962-04-22,,,,,
6353,1125 Astra SPX,,,2001-08-31,,,,,
6354,Jetstar,,,1962-04-22,,,,,
6355,Jetstar,,,1962-04-22,,,,,
6356,1125 Astra SPX,,,2001-09-02,,,,,
6357,Jetstar,,,1962-04-22,,,,,
6358,Lance ,,,1987-12-18,,,,,
6359,Jetstar,,,1962-04-22,,,,,
6360,FW-200 Condor,,,1938-08-13,,,,,
6361,Concorde,,,1985-09-09,,,,,
6362,Jetstar,,,1962-04-22,,,,,
6363,III,III,,1982-01-08,AEROCAR,4,,,
6364,45,45,,1999-06-05,BEECH,4,,,
6365,V,V,,1999-11-13,JACKSON M A/JACKSON J T,4,,,
6366,Concorde,,,1987-07-13,,,,,
6367,282-40 Sabreliner,,,1963-10-25,,,,,
6368,Metroliner III,,,1991-05-30,,,,,
6369,747-400,747-400,,1998-07-05,BOEING,5,,,
6370,DC-10-30 AP-AX,,,1974-10-21,,,,,
6371,SR-71 Blackbird,,,1974-09-01,,,,,
6372,B-58 Hustler ,,,1962-03-05,,,,,
6373,VC-137,VC-1,,1963-05-19,H G KLEIN,4,,,
6374,VC-137,VC-1,,1963-05-19,H G KLEIN,4,,,
6375,B-58 Hustler ,,,1961-05-26,,,,,
6376,Jetstar,,,1962-04-22,,,,,
6377,VC-137,VC-1,,1963-05-19,H G KLEIN,4,,,
6378,Concorde,,,1999-10-23,,,,,
6379,III,III,,1984-07-02,AEROCAR,4,,,
6380,Challenger 601,,,1984-07-22,,,,,
6381,Challenger 601,,,1984-07-22,,,,,
6382,Challenger 601,,,1984-07-22,,,,,
6383,Bonanza A36,,,1989-06-24,,,,,
6384,Bonanza S35,,,1989-06-24,,,,,
6385,IV,IV,,1987-06-13,AEROTEK INC,4,,,
6386,310,310,,1992-06-30,SCHRECK FBA,4,,,
6387,201,201,,1987-08-30,PAPPAS GEORGE,4,,,
6388,III,III,,1983-11-18,AEROCAR,4,,,
6389,DC-8,DC-8,,1973-06-25,DOUGLAS,5,,,
6390,747SP,,,1977-10-30,,,,,
6391,Navajo,,,1971-11-22,,,,,
6392,737-400,737-400,,1992-07-24,BOEING,5,,,
6393,III,III,,1984-02-14,AEROCAR,4,,,
6394,III,III,,1984-02-15,AEROCAR,4,,,
6395,Metroliner III,,,1991-06-03,,,,,
6396,III,III,,1984-02-14,AEROCAR,4,,,
6397,252,25,,1988-01-14,AIR & SPACE AMERICA INC,6,,,
6398,310,310,,1992-06-23,SCHRECK FBA,4,,,
6399,Bonanza F33A,,,1984-02-20,,,,,
6400,Bonanza F33A,,,1984-02-20,,,,,
6401,Bonanza F33A,,,1984-02-20,,,,,
6402,Bonanza F33A,,,1984-02-21,,,,,
6403,Bonanza F33A,,,1984-02-21,,,,,
6404,Bonanza F33A,,,1984-02-21,,,,,
6405,DA-10,A-10,,1996-08-08,ANTARES CORP,7,,,
6406,Lance,,,1987-08-03,,,,,
6407,VC-137,VC-1,,1963-05-21,H G KLEIN,4,,,
6408,VC-137,VC-1,,1963-05-21,H G KLEIN,4,,,
6409,VC-137,VC-1,,1963-05-21,H G KLEIN,4,,,
6410,VC-137,VC-1,,1963-05-21,H G KLEIN,4,,,
6411,VC-137,VC-1,,1963-05-21,H G KLEIN,4,,,
6412,172,172,,2000-08-10,CESSNA,4,,,
6413,RV-6,RV-6,,1999-06-04,HOWARD MICHAEL A,4,,,
6414,RV-6,RV-6,,1999-06-04,HOWARD MICHAEL A,4,,,
6415,Canberra Aeries IV,,,1955-06-27,,,,,
6416,140,140,,1995-09-21,CESSNA,4,,,
6417,RV-6,RV-6,,1999-06-04,HOWARD MICHAEL A,4,,,
6418,Pelican GS,,,1996-06-26,,,,,
6419,III,III,,1983-01-15,AEROCAR,4,,,
6420,208 Caravan,,,1996-05-04,,,,,
6421,V,V,,1998-01-11,JACKSON M A/JACKSON J T,4,,,
6422,Bonanza F33A,,,1984-02-27,,,,,
6423,Bonanza F33A,,,1984-02-27,,,,,
6424,Bonanza F33A,,,1984-02-27,,,,,
6425,IV,IV,,2003-07-07,AEROTEK INC,4,,,
6426,IV,IV,,2003-07-08,AEROTEK INC,4,,,
6427,C.635 Simoun,,,1935-12-18,,,,,
6428,Jetstar,,,1962-04-22,,,,,
6429,IV,IV,,1987-06-14,AEROTEK INC,4,,,
6430,IV,IV,,1987-06-12,AEROTEK INC,4,,,
6431,282-40 Sabreliner,,,1963-10-27,,,,,
6432,III,III,,1982-01-08,AEROCAR,4,,,
6433,Cardinal,,,1978-10-07,,,,,
6434,Simon,,,1936-11-15,,,,,
6435,Concorde,,,1992-10-11,,,,,
6436,Swift MK IV WK 198,,,1963-07-05,,,,,
6437,IV,IV,,1987-06-13,AEROTEK INC,4,,,
6438,IV,IV,,1987-06-13,AEROTEK INC,4,,,
6439,Mystere IV N Avon,,,1955-06-18,,,,,
6440,IV,IV,,1987-06-13,AEROTEK INC,4,,,
6441,35A,35A,,1985-06-04,GATES LEARJET CORP.,5,,,
6442,Bonanza,,,1989-07-03,,,,,
6443,C-635,C-635,,1937-12-23,CAUDRON,4,,,
6444,V,V,,1997-06-22,JACKSON M A/JACKSON J T,4,,,
6445,36,36,,1976-05-18,BEECH,4,,,
6446,11A,11A,,1989-07-02,LUSCOMBE,4,,,
6447,750 Citation X,,,2001-07-28,,,,,
6448,750 Citation X,,,2001-07-30,,,,,
6449,Bonanza F33A,,,1984-02-27,,,,,
6450,Bonanza F33A,,,1984-02-27,,,,,
6451,Bonanza F33A,,,1984-02-27,,,,,
6452,Bonanza F33A,,,1984-02-27,,,,,
6453,Bonanza F33A,,,1984-02-27,,,,,
6454,ATR-42,ATR-42,,1989-04-22,AEROSPATIALE/ATR,5,,,
6455,ATR-42,ATR-42,,1989-04-22,AEROSPATIALE/ATR,5,,,
6456,VC-137,VC-1,,1963-05-19,H G KLEIN,4,,,
6457,VC-137,VC-1,,1963-05-19,H G KLEIN,4,,,
6458,VC-137,VC-1,,1963-05-19,H G KLEIN,4,,,
6459,Bonanza F33A,,,1984-02-23,,,,,
6460,Bonanza F33A,,,1984-03-01,,,,,
6461,Bonanza F33A,,,1984-02-20,,,,,
6462,Bonanza F33A,,,1984-02-21,,,,,
6463,Bonanza F33A,,,1984-03-01,,,,,
6464,Bonanza F33A,,,1984-02-21,,,,,
6465,Bonanza F33A,,,1984-02-21,,,,,
6466,Bonanza A36,,,1989-05-29,,,,,
6467,Bonanza S35,,,1989-05-29,,,,,
6468,Bonanza A36,,,1989-06-13,,,,,
6469,Bonanza S35,,,1989-06-13,,,,,
6470,60,60,,1997-06-12,LITTLE WINDY,4,,,
6471,60,60,,1997-06-12,LITTLE WINDY,4,,,
6472,201,201,,1987-08-30,PAPPAS GEORGE,4,,,
6473,Bonanza,,,1989-06-22,,,,,
6474,201,201,,1987-08-30,PAPPAS GEORGE,4,,,
6475,Bonanza F33A,,,1984-02-28,,,,,
6476,Bonanza F33A,,,1984-02-23,,,,,
6477,Bonanza F33A,,,1984-02-23,,,,,
6478,Bonanza F33A,,,1984-02-28,,,,,
6479,Bonanza F33A,,,1984-02-28,,,,,
6480,Bonanza F33A,,,1984-02-23,,,,,
6481,Bonanza F33A,,,1984-02-28,,,,,
6482,Bonanza F33A,,,1984-02-28,,,,,
6483,Bonanza F33A,,,1984-02-23,,,,,
6484,Bonanza F33A,,,1984-02-28,,,,,
6485,737-400,737-400,,1992-07-21,BOEING,5,,,
6486,VC10 C,,,1987-12-21,,,,,
6487,Hercules,,,1984-12-01,,,,,
6488,,,,1986-12-03,,,,,
6489,PA-60-602P Aerostar,,,1992-05-23,,,,,
6490,,,,1986-12-04,,,,,
6491,PA-60-602P Aerostar,,,1992-05-24,,,,,
6492,Bonanza F33A,,,1984-02-28,,,,,
6493,Bonanza F33A,,,1984-02-28,,,,,
6494,Bonanza F33A,,,1984-02-28,,,,,
6495,Bonanza F33A,,,1984-02-28,,,,,
6496,Bonanza F33A,,,1984-02-28,,,,,
6497,Bonanza F33A,,,1984-02-28,,,,,
6498,Bonanza F33A,,,1984-02-28,,,,,
6499,Bonanza F33A,,,1984-02-28,,,,,
6500,Bonanza F33A,,,1984-02-28,,,,,
6501,Baron,,,1988-12-20,,,,,
6502,Baron,,,1988-12-21,,,,,
6503,Bonanza F33A,,,1984-02-03,,,,,
6504,III,III,,1983-01-16,AEROCAR,4,,,
6505,Pelican GS,,,1996-06-26,,,,,
6506,RV-6,RV-6,,1998-08-22,HOWARD MICHAEL A,4,,,
6507,III,III,,1983-11-17,AEROCAR,4,,,
6508,III,III,,1983-11-18,AEROCAR,4,,,
6509,IV P,IV P,,2001-07-20,ORION DISTRIBUTING INC,4,,,
6510,Lance,,,1987-10-04,,,,,
6511,Aerostar,,,1989-05-22,,,,,
6512,Bonanza,,,1989-07-18,,,,,
6513,35A,35A,,1985-06-05,GATES LEARJET CORP.,5,,,
6514,208 Caravan,,,1996-05-14,,,,,
6515,310,310,,1992-07-20,SCHRECK FBA,4,,,
6516,DH.90 Dragonfly,,,1964-08-05,,,,,
6517,310,310,,1992-07-22,SCHRECK FBA,4,,,
6518,310,310,,1992-06-16,SCHRECK FBA,4,,,
6519,421B,421B,,1997-09-11,CESSNA,5,,,
6520,DC-10-30,DC-10-30,,1978-01-23,MCDONNELL-DOUGLAS,5,,,
6521,DC-10,DC-1,,1972-10-14,DUTTON WILLIAM A,4,,,
6522,Bonanza F33A,,,1984-02-20,,,,,
6523,20L,L 20,,1956-10-25,LEICHTFLUGZEUBAU KLEMM,4,,,
6524,III,III,,1982-01-08,AEROCAR,4,,,
6525,208 Caravan,,,1996-04-28,,,,,
6526,Hunter T.7,,,1956-10-25,,,,,
6527,Savoia-79 I-BISE,,,1938-01-24,,,,,
6528,421B,421B,,1997-09-16,CESSNA,5,,,
6529,Comanche,,,1988-12-16,,,,,
6530,PA-18-150,PA-18-150,,1991-06-25,KRUPINSKI FLOYD M,4,,,
6531,Bonanza A36,,,1989-06-05,,,,,
6532,Bonanza S35,,,1989-06-05,,,,,
6533,Metroliner III,,,1991-06-07,,,,,
6534,Bonanza F33A,,,1984-03-01,,,,,
6535,Bonanza F33A,,,1984-03-01,,,,,
6536,750 Citation X,,,2003-02-05,,,,,
6537,P.180 Avanti,,,2003-02-06,,,,,
6538,TBM 700,TBM 700,,1992-09-26,SOCATA,4,,,
6539,III,III,,1982-01-22,AEROCAR,4,,,
6540,45,45,,1998-11-23,BEECH,4,,,
6541,750 Citation X,,,2000-04-06,,,,,
6542,35A,35A,,1983-02-16,GATES LEARJET CORP.,5,,,
6543,IV,IV,,1992-03-05,AEROTEK INC,4,,,
6544,747SP,,,1977-10-29,,,,,
6545,750 Citation X,,,2000-04-06,,,,,
6546,252TSE,,,1999-06-10,,,,,
6547,M20K,M20K,,1980-01-07,MOONEY AIRCRAFT CORP.,4,,,
6548,PA-46-310P,PA-46-310P,,1992-05-04,NEW PIPER AIRCRAFT INC,4,,,
6549,Aerostar 602P,,,1988-05-18,,,,,
6550,Bonanza F33A,,,1984-03-01,,,,,
6551,Bonanza F33A,,,1984-03-01,,,,,
6552,PA-46-310P,PA-46-310P,,1991-01-27,NEW PIPER AIRCRAFT INC,4,,,
6553,Bonanza A36,,,1989-05-30,,,,,
6554,Bonanza S35,,,1989-05-30,,,,,
6555,Bonanza A36,,,1989-05-30,,,,,
6556,Bonanza S35,,,1989-05-30,,,,,
6557,Bonanza A36,,,1989-05-30,,,,,
6558,Bonanza S35,,,1989-05-30,,,,,
6559,Bonanza A36,,,1989-05-30,,,,,
6560,Bonanza S35,,,1989-05-30,,,,,
6561,Bonanza ,,,1986-07-04,,,,,
6562,Concorde,,,1992-10-12,,,,,
6563,Concorde,,,1992-10-13,,,,,
6564,Concorde,,,1992-10-13,,,,,
6565,208 Caravan,,,1996-05-03,,,,,
6566,Falcon 900EX,,,1998-06-03,,,,,
6567,RV-6,RV-6,,1998-11-14,HOWARD MICHAEL A,4,,,
6568,208 Caravan,,,1996-04-08,,,,,
6569,RV-6,RV-6,,1998-11-14,HOWARD MICHAEL A,4,,,
6570,G550,G50,,2003-09-29,TOOFON INC,6,,,
6571,G550,G50,,2003-12-06,TOOFON INC,6,,,
6572,1126 Galaxy,,,2002-03-31,,,,,
6573,IV,IV,,1987-06-11,AEROTEK INC,4,,,
6574,747SP,,,1988-01-29,,,,,
6575,767-200ER,767-200ER,,1990-05-22,BOEING,5,,,
6576,747SP,,,1988-01-29,,,,,
6577,PA-60-602P Aerostar,,,1990-05-25,,,,,
6578,747SP,,,1988-01-29,,,,,
6579,B-52H Stratofortress,,,1962-01-11,,,,,
6580,767-200ER,767-200ER,,1990-07-09,BOEING,5,,,
6581,777-200,777-200,,1995-09-07,BOEING,5,,,
6582,PA-60-602P Aerostar,,,1995-03-23,,,,,
6583,PA-60-602P Aerostar,,,1989-05-21,,,,,
6584,747SP,,,1988-01-29,,,,,
6585,757-236,757-236,,1986-05-16,BOEING,5,,,
6586,PA-60-602P Aerostar,,,1990-09-25,,,,,
6587,737-200,737-200,,1984-12-13,BOEING,5,,,
6588,747SP,,,1988-01-29,,,,,
6589,747-200ER,767-200ER,,1990-07-09,BOEING,5,,,
6590,1125 Astra SPX,,,2001-09-03,,,,,
6591,DC-8,DC-8,,1973-06-25,DOUGLAS,5,,,
6592,PA-60-602P Aerostar,,,1990-07-28,,,,,
6593,777-200,777-200,,1995-06-11,BOEING,5,,,
6594,PA-60-602P Aerostar,,,1992-05-24,,,,,
6595,777-200,777-200,,1997-05-07,BOEING,5,,,
6596,750,750,,1997-05-05,CHARLES A MIRANDA,4,,,
6597,Aerostar 700PC,,,1988-05-18,,,,,
6598,G550,G50,,2003-10-03,TOOFON INC,6,,,
6599,Baron,,,1988-12-20,,,,,
6600,208 Caravan,,,1996-04-08,,,,,
6601,421B,421B,,1997-09-15,CESSNA,5,,,
6602,750 Citation X,,,1995-06-15,,,,,
6603,Concorde,,,1993-01-01,,,,,
6604,Jetstar,,,1962-04-22,,,,,
6605,310,310,,1992-07-12,SCHRECK FBA,4,,,
6606,IV,IV,,1988-02-27,AEROTEK INC,4,,,
6607,Jetstar,,,1962-04-22,,,,,
6608,Concorde,,,1985-09-16,,,,,
6609,Jetstar,,,1962-04-22,,,,,
6610,B1 WP209,,,1955-07-13,,,,,
6611,Challenger 601,,,1984-07-23,,,,,
6612,III,III,,1982-01-09,AEROCAR,4,,,
6613,F8F Bearcat,,,1994-08-03,,,,,
6614,208 Caravan,,,1996-05-16,,,,,
6615,An-124,A-12,,1990-12-04,EAGLEROCK,4,,,
6616,Bonanza F33A,,,1984-02-28,,,,,
6617,II,II,,1975-02-27,AEROCAR,4,,,
6618,Bonanza F33A,,,1984-02-21,,,,,
6619,Bonanza F33A,,,1984-02-28,,,,,
6620,Bonanza F33A,,,1984-02-21,,,,,
6621,282-40 Sabreliner,,,1963-10-26,,,,,
6622,282-40 Sabreliner,,,1963-10-26,,,,,
6623,172,172,,2000-08-15,CESSNA,4,,,
6624,PA-32R-301,PA-32R-301,,1993-11-07,PIPER,4,,,
6625,DC-9-41,DC-9-41,,1985-05-17,DOUGLAS,5,,,
6626,SR-71 ,SR-1,,1990-03-06,VSR (VANMETER-SMITH RACING),4,,,
6627,DC-10,DC-1,,1971-06-02,DUTTON WILLIAM A,4,,,
6628,Sabreliner,,,1986-08-22,,,,,
6629,252 TSE,,,1987-01-07,,,,,
6630,Falcon 2000,,,2002-11-08,,,,,
6631,VC-137,VC-1,,1963-05-21,H G KLEIN,4,,,
6632,VC-137,VC-1,,1963-05-21,H G KLEIN,4,,,
6633,VC-137,VC-1,,1963-05-21,H G KLEIN,4,,,
6634,VC-137,VC-1,,1963-05-21,H G KLEIN,4,,,
6635,VC-137,VC-1,,1963-05-21,H G KLEIN,4,,,
6636,208 Caravan,,,1996-05-13,,,,,
6637,208 Caravan,,,1996-05-13,,,,,
6638,421B,421B,,1997-09-13,CESSNA,5,,,
6639,Concorde,,,1999-10-30,,,,,
6640,Concorde,,,1990-03-19,,,,,
6641,Concorde,,,1999-10-30,,,,,
6642,Concorde,,,1985-02-16,,,,,
6643,Concorde,,,1985-02-15,,,,,
6644,36,36,,1984-07-26,BEECH,4,,,
6645,IV,IV,,1988-02-28,AEROTEK INC,4,,,
6646,IV,IV,,1988-02-27,AEROTEK INC,4,,,
6647,747SP,,,1988-01-30,,,,,
6648,V,V,,1998-01-11,JACKSON M A/JACKSON J T,4,,,
6649,III,III,,1983-11-18,AEROCAR,4,,,
6650,III,III,,1983-11-18,AEROCAR,4,,,
6651,IV,IV,,2003-06-21,AEROTEK INC,4,,,
6652,V,V,,1998-02-20,JACKSON M A/JACKSON J T,4,,,
6653,BD-700 Global Express,,,1999-09-19,,,,,
6654,1125 Astra SPX,,,2001-08-31,,,,,
6655,BD-700 Global Express,,,1999-05-13,,,,,
6656,V,V,,2000-07-03,JACKSON M A/JACKSON J T,4,,,
6657,,,,1987-10-02,,,,,
6658,Lance,,,1988-01-08,,,,,
6659,Lance,,,1988-02-02,,,,,
6660,Lance,,,1987-08-11,,,,,
6661,Lance,,,1987-12-16,,,,,
6662,Lance,,,1988-03-14,,,,,
6663,Lance,,,1987-12-18,,,,,
6664,Lance,,,1988-01-18,,,,,
6665,Lance,,,1987-07-29,,,,,
6666,421B,421B,,1997-09-05,CESSNA,5,,,
6667,Bonanza F33A,,,1984-02-20,,,,,
6668,Bonanza F33A,,,1984-02-20,,,,,
6669,Bonanza F33A,,,1984-02-20,,,,,
6670,Bonanza F33A,,,1984-02-20,,,,,
6671,Bonanza F33A,,,1984-02-20,,,,,
6672,IV,IV,,1993-03-03,AEROTEK INC,4,,,
6673,B-58A Hustler,,,1963-10-16,,,,,
6674,C-135,EC-135,,1985-10-04,EUROCOPTER DEUTSCHLAND GMBH,6,,,
6675,B-58A Hustler,,,1963-10-16,,,,,
6676,BD-700 Global Express,,,2002-04-26,,,,,
6677,B-52H Stratofortress,,,1962-01-11,,,,,
6678,III,III,,1984-02-15,AEROCAR,4,,,
6679,IV,IV,,1992-03-05,AEROTEK INC,4,,,
6680,B-58A Hustler,,,1963-10-16,,,,,
6681,V,V,,2002-11-07,JACKSON M A/JACKSON J T,4,,,
6682,B-52H Stratofortress,,,1962-01-11,,,,,
6683,BD-700 Global Express,,,1999-05-14,,,,,
