recordNumber,aircraftModel,Matched_Master_Model,confirmedSpeedKph,recordDate,MFR,TYPE-ACFT,FirstClassCount,EconomyCount,PilotCount
9191,Bonanza,,,1979-06-30,,,,,
9192,PA-23 Aztec,,,1984-05-26,,,,,
9193,Baron B55,,,1971-08-07,,,,,
9194,P210N,P210N,,1979-09-30,CESSNA,4,,,
9195,Malibu,,,1984-05-12,,,,,
9196,Baron C55,,,1968-06-08,,,,,
9197,Baron B55,,,1971-08-09,,,,,
9198,PA-60 ,P-60,,1992-06-20,BEST AVIATION SERVICES LLC,2,,,
9199,310,310,,1992-06-20,SCHRECK FBA,4,,,
9200,Baron 58,,,1994-02-04,,,,,
9201,310,310,,1992-07-12,SCHRECK FBA,4,,,
9202,310,310,,1992-07-12,SCHRECK FBA,4,,,
9203,Bonanza F33A,,,1993-11-14,,,,,
9204,Baron 58,,,1994-02-02,,,,,
9205,Baron 58,,,1994-02-02,,,,,
9206,310,310,,1992-07-09,SCHRECK FBA,4,,,
9207,T210 Centurion,,,1980-02-03,,,,,
9208,Baron 58,,,1994-02-02,,,,,
9209,210N,210N,,1994-05-27,CESSNA,4,,,
9210,Bonanza B36TC,,,1996-02-10,,,,,
9211,310,310,,1992-06-16,SCHRECK FBA,4,,,
9212,Aztec,,,1986-11-22,,,,,
9213,Baron B55,,,1996-07-31,,,,,
9214,Baron 58,,,1993-07-29,,,,,
9215,PA-32R-300 Lance,,,1986-06-17,,,,,
9216,PA-23 Aztec,,,1986-06-21,,,,,
9217,PA-23 Aztec,,,2001-03-17,,,,,
9218,Baron BE58,,,1994-06-15,,,,,
9219,PA-60,P-60,,1992-06-21,BEST AVIATION SERVICES LLC,2,,,
9220,310,310,,1992-06-21,SCHRECK FBA,4,,,
9221,310,310,,1992-06-28,SCHRECK FBA,4,,,
9222,Bonanza A36,,,1992-06-30,,,,,
9223,Baron,,,1988-06-22,,,,,
9224,Baron 58,,,1985-12-16,,,,,
9225,Baron 58,,,1994-05-14,,,,,
9226,310R,310R,,1987-03-15,CESSNA,5,,,
9227,PA-32R-300 Lance,,,1985-06-18,,,,,
9228,Malibu,,,1987-02-11,,,,,
9229,T210 Centurion,,,1980-12-03,,,,,
9230,PA-32R-300 Lance,,,1985-06-17,,,,,
9231,Baron B55,,,1971-08-08,,,,,
9232,PA-32R-300 Lance,,,1986-06-15,,,,,
9233,Baron,,,1989-05-21,,,,,
9234,PA-32R-300 Lance,,,1985-06-17,,,,,
9235,310N,310N,,1975-09-08,CESSNA,5,,,
9236,Seneca II,,,1986-01-26,,,,,
9237,PA-46-310P Malibu,,,1984-12-18,,,,,
9238,P206,P206,,1969-10-26,CESSNA,4,,,
9239,Baron B55,,,1971-08-07,,,,,
9240,PA-32R-300 Lance,,,1985-06-17,,,,,
9241,T210 Centurion,,,1980-12-02,,,,,
9242,PA-32R-300 Lance,,,1985-06-17,,,,,
9243,Baron,,,1984-07-24,,,,,
9244,Seneca II,,,1986-12-27,,,,,
9245,310,310,,1992-06-28,SCHRECK FBA,4,,,
9246,PA-60,P-60,,1992-06-26,BEST AVIATION SERVICES LLC,2,,,
9247,310,310,,1992-06-26,SCHRECK FBA,4,,,
9248,Aztec,,,1981-12-17,,,,,
9249,Bonanza B50,,,1990-07-26,,,,,
9250,T210 Centurion,,,1980-11-22,,,,,
9251,Seneca II,,,1986-01-22,,,,,
9252,Baron B55,,,1995-07-28,,,,,
9253,PA-60-602P Aerostar,,,1990-05-27,,,,,
9254,Skymaster,,,1998-04-20,,,,,
9255,Aerostar 601P,,,1978-08-19,,,,,
9256,PA-32R-300 Lance,,,1986-06-26,,,,,
9257,Aztec,,,2001-04-01,,,,,
9258,PA-23 Aztec,,,1984-06-15,,,,,
9259,310,310,,1992-07-22,SCHRECK FBA,4,,,
9260,310,310,,1992-07-22,SCHRECK FBA,4,,,
9261,Seneca II,,,1985-12-31,,,,,
9262,PA-46,PA-4,,1988-07-08,PITCAIRN,4,,,
9263,Baron 56TC,,,1991-09-12,,,,,
9264,Baron BE58,,,1995-04-10,,,,,
9265,PA-23 Aztec,,,1986-07-07,,,,,
9266,PA-23 Aztec,,,1986-07-06,,,,,
